StudyHours,Attendance,QuizAvg,Result
10,93,63.2,1
15,67,90.3,1
15,79,89.1,1
0,59,52.3,0
8,80,88.0,1
5,92,32.6,0
15,81,71.7,1
2,67,46.1,0
19,59,38.4,0
3,80,35.4,0
18,34,78.7,0
2,58,53.8,0
18,33,80.7,0
19,39,34.6,0
6,85,52.1,0
19,46,67.8,0
8,46,85.4,0
0,98,52.3,0
7,63,73.8,0
6,35,92.0,0
17,82,73.1,1
7,95,46.3,0
0,72,31.7,0
10,52,90.9,0
24,84,31.5,1
24,45,91.2,1
17,37,67.0,0
22,33,95.7,1
9,33,85.9,0
2,85,99.9,1
6,54,54.5,0
15,96,83.7,1
15,96,58.1,1
24,56,63.6,1
19,61,73.9,1
16,79,91.2,1
1,90,98.9,1
0,80,83.8,0
15,48,59.2,0
11,50,59.5,0
4,34,81.6,0
4,71,46.7,0
22,90,37.7,1
8,51,54.8,0
8,50,50.1,0
2,99,50.7,0
18,30,46.4,0
15,34,32.9,0
15,41,31.3,0
2,75,99.1,0
19,63,59.9,1
23,78,56.9,1
21,74,77.6,1
23,56,45.3,0
0,55,96.5,0
23,76,85.0,1
19,85,36.3,0
10,92,59.2,0
16,77,91.5,1
7,90,96.1,1
3,55,62.7,0
5,65,72.9,0
7,30,41.7,0
19,37,99.4,1
2,81,46.2,0
15,76,96.0,1
24,85,75.5,1
2,43,72.5,0
24,57,65.9,1
17,31,46.1,0
13,55,42.4,0
17,43,45.4,0
1,88,43.1,0
21,85,84.6,1
2,36,54.5,0
15,32,34.0,0
8,52,97.8,0
3,47,91.9,0
0,67,94.9,0
3,44,99.6,0
0,93,42.2,0
13,57,57.7,0
20,68,83.1,1
15,86,78.7,1
19,46,40.8,0
23,73,87.1,1
7,54,45.7,0
6,46,45.7,0
2,42,67.6,0
16,54,71.5,0
0,97,70.6,0
15,39,36.4,0
11,96,91.4,1
18,47,48.6,0
21,63,39.1,0
22,37,92.2,1
21,69,96.9,1
13,71,90.3,1
5,70,86.7,0
5,35,75.9,0
12,81,68.6,1
18,55,36.1,0
21,93,58.6,1
7,88,56.1,0
1,85,48.2,0
20,88,80.6,1
0,99,64.7,0
14,62,35.7,0
0,82,45.4,0
4,51,77.8,0
15,50,35.3,0
18,99,89.6,1
3,99,64.7,0
2,33,63.6,0
16,91,71.5,1
16,91,87.7,1
11,53,54.3,0
13,84,77.5,1
20,38,69.6,0
5,32,48.7,0
2,60,91.5,0
8,69,85.8,0
4,65,76.1,0
23,53,89.5,1
16,35,90.7,0
13,95,79.6,1
20,33,88.6,1
2,35,78.8,0
0,80,77.6,0
19,91,73.3,1
20,86,82.7,1
22,95,41.1,1
0,37,91.7,0
2,55,91.0,0
17,80,32.0,0
24,74,87.8,1
9,73,39.0,0
21,34,53.5,0
2,99,82.0,0
7,55,41.3,0
13,97,87.3,1
23,48,88.2,1
17,49,65.5,0
14,41,30.4,0
21,76,50.1,1
22,30,73.2,0
1,43,98.7,0
9,93,74.2,1
1,67,48.2,0
16,66,74.4,1
7,40,67.8,0
0,32,84.6,0
8,62,37.5,0
10,35,83.3,0
21,79,67.9,1
15,39,97.4,1
6,34,53.9,0
9,52,74.3,0
22,39,95.2,1
2,73,37.2,0
17,31,95.6,1
24,42,78.2,1
23,69,34.7,0
12,31,51.1,0
6,94,79.6,1
24,92,34.7,1
3,46,70.8,0
12,38,54.2,0
19,44,73.5,0
0,53,33.2,0
7,67,91.0,0
13,64,98.1,1
15,78,97.8,1
13,98,82.5,1
11,91,39.1,0
18,89,83.1,1
22,79,31.7,0
14,38,31.5,0
1,63,52.7,0
1,64,64.2,0
22,30,83.9,1
21,69,77.8,1
18,93,61.2,1
24,51,49.2,0
21,89,99.8,1
21,93,59.8,1
16,40,61.6,0
19,43,41.5,0
9,89,85.6,1
5,59,78.6,0
14,64,45.5,0
21,66,35.8,0
10,34,77.6,0
4,55,75.8,0
0,91,49.1,0
7,33,96.6,0
20,71,40.6,0
11,47,60.3,0
11,69,96.1,1
4,68,59.4,0
6,43,74.7,0
3,61,57.8,0
5,80,49.2,0
12,67,98.9,1
19,52,58.7,0
14,92,92.6,1
2,44,46.1,0
22,54,44.9,0
7,46,32.2,0
19,95,75.6,1
15,82,55.8,1
12,80,90.5,1
17,68,63.1,1
9,80,97.8,1
18,99,43.0,1
16,35,90.8,0
23,96,84.4,1
18,36,84.0,0
22,80,89.1,1
4,71,83.3,0
20,93,73.8,1
22,44,39.2,0
8,58,32.3,0
11,62,94.5,1
20,56,73.2,1
0,65,85.8,0
0,58,63.7,0
14,67,38.2,0
1,86,38.8,0
21,56,78.0,1
15,84,60.1,1
24,62,44.0,1
7,97,64.4,0
12,95,34.5,0
20,39,70.7,0
0,34,48.8,0
15,67,85.8,1
6,42,51.7,0
4,60,61.9,0
21,76,30.8,0
22,81,35.1,1
2,85,57.5,0
11,44,63.6,0
15,58,72.0,0
18,37,50.4,0
4,34,78.6,0
21,58,90.2,1
24,76,84.6,1
13,97,32.8,0
4,74,63.6,0
14,31,37.3,0
16,56,46.9,0
13,65,99.1,1
19,65,40.0,0
4,55,64.9,0
11,72,73.3,0
15,56,79.2,1
15,98,69.2,1
20,49,30.7,0
